"eez_code","eez_name","eez_type","ter1_code","ter1_name","ter1_iso","ter2_code","ter2_name","ter2_iso","ter3_code","ter3_name","ter3_iso","sov1_code","sov1_name","sov1_iso","sov2_code","sov2_name","sov2_iso","sov3_code","sov3_name","sov3_iso","long_dd","lat_dd","area_sqkm","income_usd_yr","diesel_usd_l","gas_usd_l"
5697,"Turkish Exclusive Economic Zone","200NM",2213,"Turkey","TUR",0,NA,NA,0,NA,NA,2213,"Turkey","TUR",0,NA,NA,0,NA,NA,33.2205977618,40.5222437012,261927,8651.98592806395,1.23,1.42
21790,"Monégasque Exclusive Economic Zone","200NM",2222,"Monaco","MCO",0,NA,NA,0,NA,NA,2222,"Monaco","MCO",0,NA,NA,0,NA,NA,7.58768028014,43.3480154122,287,10359.2557180985,0.857541062801932,0.974311698113208
8366,"Tunisian Exclusive Economic Zone","200NM",2214,"Tunisia","TUN",0,NA,NA,0,NA,NA,2214,"Tunisia","TUN",0,NA,NA,0,NA,NA,11.0531894413,36.0013257587,99686,2641.8477156768,0.62,0.73
5691,"Montenegrin Exclusive economic Zone","200NM",17831,"Montenegro","MNE",0,NA,NA,0,NA,NA,17831,"Montenegro","MNE",0,NA,NA,0,NA,NA,18.6801469453,41.8702342631,6374,6961.65889453885,1.02,1.16
5670,"Albanian Exclusive Economic Zone","200NM",2153,"Albania","ALB",0,NA,NA,0,NA,NA,2153,"Albania","ALB",0,NA,NA,0,NA,NA,19.1130007712,40.927083965,12150,4105.15051492189,1.35,1.36
5672,"Bulgarian Exclusive Economic Zone","200NM",2174,"Bulgaria","BGR",0,NA,NA,0,NA,NA,2174,"Bulgaria","BGR",0,NA,NA,0,NA,NA,29.2016465481,42.9339561782,34685,7103.72461901333,1.09,1.11
48953,"Palestinian Exclusive Economic Zone","200NM",15525,"Palestine","PSE",2123,"Israel","ISR",0,NA,NA,15525,"Palestine","PSE",2123,"Israel","ISR",0,NA,NA,34.2344380508,31.5691541221,1121,10359.2557180985,1.41,1.54
8357,"Kuwaiti Exclusive Economic Zone","200NM",2115,"Kuwait","KWT",0,NA,NA,0,NA,NA,2115,"Kuwait","KWT",0,NA,NA,0,NA,NA,48.6290824971,29.1845911752,11193,28637.7579836424,0.31,0.35
8470,"Iraqi Exclusive Economic Zone","200NM",2125,"Iraq","IRQ",0,NA,NA,0,NA,NA,2125,"Iraq","IRQ",0,NA,NA,0,NA,NA,48.5848904072,29.7695160791,1189,3943.67843448668,0.7,0.61
8358,"Bahraini Exclusive Economic Zone","200NM",2154,"Bahrain","BHR",0,NA,NA,0,NA,NA,2154,"Bahrain","BHR",0,NA,NA,0,NA,NA,50.705336466,26.3353961148,7530,20264.0552865819,0.32,0.43
8468,"Qatari Exclusive Economic Zone","200NM",2242,"Qatar","QAT",0,NA,NA,0,NA,NA,2242,"Qatar","QAT",0,NA,NA,0,NA,NA,51.8807633127,25.8623628675,31423,47932.6540405274,0.38,0.4
8353,"Yemeni Exclusive Economic Zone","200NM",2199,"Yemen","YEM",0,NA,NA,0,NA,NA,2199,"Yemen","YEM",0,NA,NA,0,NA,NA,52.0616096242,12.8890558088,529394,1060.4948872745,0.76,0.92
8375,"Israeli Exclusive Economic Zone","200NM",2123,"Israel","ISR",0,NA,NA,0,NA,NA,2123,"Israel","ISR",0,NA,NA,0,NA,NA,34.0880504092,32.5743688958,24643,34949.5624380804,0.857541062801932,1.57
8491,"Jordanian Exclusive Economic Zone","200NM",2120,"Jordan","JOR",0,NA,NA,0,NA,NA,2120,"Jordan","JOR",0,NA,NA,0,NA,NA,34.9468344737,29.4351678075,97,3710.80743828066,0.64,1.1
8352,"Djiboutian Exclusive Economic Zone","200NM",2131,"Djibouti","DJI",0,NA,NA,0,NA,NA,2131,"Djibouti","DJI",0,NA,NA,0,NA,NA,43.432962888,11.9971041774,7252,1466.50687188373,0.98,1.32
8481,"Bangladeshi Exclusive Economic Zone","200NM",2142,"Bangladesh","BGD",0,NA,NA,0,NA,NA,2142,"Bangladesh","BGD",0,NA,NA,0,NA,NA,90.5615289543,20.4756146621,112485,1483.83391139082,0.84,1.12
