"","ID","CountryYieldCumSum","CountryAreaCumSum","MaxPhi","averagePhi","averageWeightedPhi","MaxDevPerCountry","MaxProdPerCountry","OnePercentDevPerCountry","ProdPerCountryOnePercent","LABEL","MarFishProdMT","MarMolluscProdMT"
"66",130,97036554.7884317,0.591510146837822,1.93800933539762,1.86799926996453,1.86732108543262,3004.51245655598,440091043936.668,30.0451245655598,4878590034.10991,"France",6295,156980
"67",131,84737456.3852482,0.542692597298487,1.90835915487539,1.89023294074531,1.8903773751001,560.154071910468,84935997645.1927,5.60154071910468,847374551.18631,"United Kingdom",156220,28112
"68",132,78101076,0.5263828,1.877721,1.83245947462687,1.83246113769399,352.9472703,48648008216,3.529472703,468635546,"Ireland",9305,24043
"69",133,105521488.544142,0.684914688162719,1.90031884021071,1.59231893641368,1.59206357039323,467.691636709585,43536055180.1242,4.67691636709585,633209064.587543,"Spain",41135,163200
"70",134,94468599,0.6570728,1.858811,1.77950116096866,1.77863336095139,464.3274195,58703899469,4.643274195,661383012,"Portugal",3802,3173
"71",135,72395747,0.6330279,1.721444,1.25723347701149,1.25726835561321,328.7287225,18127280344,3.287287225,360147093,"Italy",6428,79000
"72",141,257629643.878378,0.775746573807117,2.3613770374,1.63990870487338,1.64033884421295,316.673460336313,37102708308.7267,3.16673460336313,1030622361.53586,"Qatar",NA,NA
"73",142,191091250.569799,0.767692766674516,2.18829598682041,1.45619937500814,1.45890255996663,1466.38636167648,120608325041.293,14.6638636167648,3190013733.81335,"Iran",NA,NA
"74",144,205298411.408467,0.838382271538833,2.17846884378612,2.04931042227653,2.04934569652495,17607.5674274288,3501511863868.87,176.075674274288,42057290033.6574,"Guinea-Bissau",NA,NA
"75",145,224444550.827808,0.84389274037065,2.2280593756646,2.10784425023809,2.10787579406621,18494.2297278235,4039839416874.86,184.942297278235,48310673580.6256,"Guinea",NA,NA
"76",146,184436172.75267,0.852331921740725,2.10423690170046,2.06155159582775,2.06156163908987,427.702566036952,86319715540.5682,4.27702566036952,922191020.078362,"Ivory Coast",NA,NA
"77",149,212180263.466194,0.854731787785443,2.18666745905586,1.99813711829153,1.99821619539424,3047.13995067674,560445962666.034,30.4713995067674,7361557527.22012,"Gabon",NA,NA
